Location,VR Internal Loc,Date,Time,Vehicle Count
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,12:30:00,191
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,12:30:00,146
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,12:30:00,155
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,12:45:00,136
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,12:45:00,191
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,12:45:00,147
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,12:45:00,159
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,13:00:00,107
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,13:00:00,185
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,13:00:00,104
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,13:00:00,161
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,13:15:00,99
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,13:15:00,210
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,13:15:00,124
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,13:15:00,153
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,13:30:00,115
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,13:30:00,195
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,13:30:00,119
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,13:30:00,149
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,13:45:00,104
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,13:45:00,175
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,13:45:00,123
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,13:45:00,152
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,14:00:00,131
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,14:00:00,163
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,14:00:00,117
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,14:00:00,178
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,14:15:00,111
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,14:15:00,136
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,14:15:00,129
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,14:15:00,159
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,14:30:00,121
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,14:30:00,168
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,14:30:00,118
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,14:30:00,154
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,14:45:00,88
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,14:45:00,194
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,14:45:00,126
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,14:45:00,155
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,15:00:00,94
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,15:00:00,179
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,15:00:00,107
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,15:00:00,140
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,15:15:00,111
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,15:15:00,191
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,15:15:00,102
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,15:15:00,155
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,15:30:00,119
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,15:30:00,144
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,15:30:00,143
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,15:30:00,153
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,15:45:00,105
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,15:45:00,170
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,15:45:00,127
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,15:45:00,145
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,16:00:00,113
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,16:00:00,154
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,16:00:00,128
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,16:00:00,170
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,16:15:00,97
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,16:15:00,170
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,16:15:00,119
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,16:15:00,148
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,16:30:00,129
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,16:30:00,126
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,16:30:00,130
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,16:30:00,163
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,16:45:00,118
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,16:45:00,130
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,16:45:00,144
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,16:45:00,160
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,17:00:00,123
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,17:00:00,146
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,17:00:00,113
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,17:00:00,171
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,17:15:00,113
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,17:15:00,95
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,17:15:00,139
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,17:15:00,183
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,17:30:00,113
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,17:30:00,175
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,17:30:00,127
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,17:30:00,166
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,17:45:00,110
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,17:45:00,135
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,17:45:00,116
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,17:45:00,153
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,18:00:00,91
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,18:00:00,118
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,18:00:00,140
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,18:00:00,117
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,18:15:00,85
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,18:15:00,115
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,18:15:00,110
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,18:15:00,104
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,18:30:00,92
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,18:30:00,118
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,18:30:00,136
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,18:30:00,113
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,18:45:00,109
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,18:45:00,125
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,18:45:00,131
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,18:45:00,115
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,19:00:00,78
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,19:00:00,108
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,19:00:00,102
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,19:00:00,73
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,19:15:00,101
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,19:15:00,96
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,19:15:00,71
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,19:15:00,89
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,19:30:00,78
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,19:30:00,85
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,19:30:00,74
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,19:30:00,104
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,19:45:00,70
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,19:45:00,88
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,19:45:00,71
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,19:45:00,95
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,20:00:00,88
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,20:00:00,96
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,20:00:00,62
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,20:00:00,86
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,20:15:00,73
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,20:15:00,71
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,20:15:00,48
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,20:15:00,75
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,20:30:00,59
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,20:30:00,71
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,20:30:00,62
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,20:30:00,66
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,20:45:00,76
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,20:45:00,69
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,20:45:00,42
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,20:45:00,74
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,21:00:00,69
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,21:00:00,101
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,21:00:00,65
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,21:00:00,82
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,21:15:00,91
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,21:15:00,81
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,21:15:00,89
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,21:15:00,98
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,21:30:00,67
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,21:30:00,92
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,21:30:00,52
