Location,Date,Time,Vehicle Count
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,9:45,65
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,0:00,15
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,0:00,10
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,0:00,18
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,0:15,17
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,0:15,9
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,0:15,17
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,0:30,6
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,0:30,8
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,0:30,9
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,0:45,3
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,0:45,5
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,0:45,12
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,10:00,137
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,10:00,62
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,10:00,85
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,10:15,124
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,10:15,53
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,10:15,94
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,10:30,117
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,10:30,71
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,10:30,99
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,10:45,118
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,10:45,80
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,10:45,110
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,11:00,122
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,11:00,75
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,11:00,117
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,11:15,133
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,11:15,66
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,11:15,102
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,11:30,126
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,11:30,58
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,11:30,102
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,11:45,127
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,11:45,78
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,11:45,102
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,12:00,134
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,12:00,70
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,12:00,123
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,12:15,127
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,12:15,63
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,12:15,108
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,12:30,132
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,12:30,64
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,12:30,98
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,12:45,111
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,12:45,49
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,12:45,118
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,13:00,120
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,13:00,68
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,13:00,125
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,13:15,134
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,13:15,79
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,13:15,84
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,13:30,110
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,13:30,77
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,13:30,146
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,13:45,116
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,13:45,65
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,13:45,110
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,14:00,133
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,14:00,75
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,14:00,121
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,14:15,121
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,14:15,67
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,14:15,108
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,14:30,118
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,14:30,72
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,14:30,111
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,14:45,111
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,14:45,86
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,14:45,126
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,15:00,128
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,15:00,79
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,15:00,144
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,15:15,143
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,15:15,65
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,15:15,172
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,15:30,111
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,15:30,110
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,15:30,164
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,15:45,168
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,15:45,101
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,15:45,142
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,16:00,141
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,16:00,113
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,16:00,145
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,16:15,116
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,16:15,79
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,16:15,153
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,16:30,123
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,16:30,103
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,16:30,163
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,16:45,137
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,16:45,113
COTHAM_RD W OF GLENFERRIE_RD,2006-10-02,16:45,171
COTHAM_RD E OF GLENFERRIE_RD,2006-10-02,17:00,116
GLENFERRIE_RD S OF COTHAM_RD,2006-10-02,17:00,120
